ID,Age,Height
1313024,18,157
1329870,17,152
1337714,18,147
1337714,18,147
1349425,17,142
1349425,18,144
1355862,18,145
1356731,16,145
1363025,17,156
1363364,17,155
1363557,17,173
1363557,18,175
1365748,17,168
1367345,18,155
1369665,17,135
1373314,16,154
1373331,17,155
1373331,17,157
1373494,17,78
1373494,17,165
1373494,17,169
1380693,17,163
1380693,17,164
1381393,16,159
1386250,17,174
1386748,18,157
1387260,17,152
1387685,17,175
1388058,16,179
1394169,16,165
1394169,16,168
1400256,16,159
1403258,17,152
1403580,17,166
1403580,18,166
1403759,17,165
1403767,18,165
1404612,15,160
1406119,17,165
1413233,18,142
1414542,16,162
1414542,17,163
1420564,16,165
1420656,15,159
1420656,17,160
1420698,15,160
1420909,15,137
1422801,16,164
1423078,17,160
1430802,17,135
1430802,17,135
1432654,17,167
1432981,15,175
1433167,16,157
1433168,16,168
1433298,15,160
1435815,16,166
1437432,16,175
1438020,17,150
1438968,16,164
1438969,16,147
1439129,17,155
1439302,17,168
1443098,17,178
1465545,16,163
1466083,15,160
1466428,15,161
1466466,17,150
1466466,18,150
1466975,17,163
1467127,15,168
1467315,17,158
1467528,16,146
1468103,18,175
1503614,15,168
1574205,18,150
1574996,15,155
1574996,15,155
1574996,16,155
1574996,15,156
1575011,15,168
1575011,17,170
1575490,16,179
1577201,16,165
1579009,18,167
1579052,16,143
1579052,16,145
1579578,18,141
1579578,18,143
1579778,14,157
1580610,13,155
1581404,14,150
1588221,13,140
1588221,16,147
1589052,15,140
1589052,16,142
1589052,16,143
1589052,17,143
1589052,18,143
1589412,17,155
1589412,15,156
1590510,14,177
1594039,14,170
1596973,11,150
1596973,12,160
1596973,14,170
1596973,14,172
1598304,10,142
1600671,15,145
1600671,17,151
1600671,18,151
1600671,15,152
1600671,16,152
1600671,16,153
1602676,18,143
1602676,15,146
1602676,16,147
1602676,17,147
1602676,17,149
1602676,18,149
1602676,16,150
1604961,17,163
1607566,14,159
1607680,15,163
1609734,16,179
1612020,16,165
1612944,15,156
1613079,17,160
1613584,16,168
1614533,15,152
1619445,15,138
1619445,14,140
1619445,15,140
1619445,15,140
1619445,16,140
1619445,17,142
1619445,18,147
1620015,14,160
1624901,14,161
1625907,15,162
1626151,14,179
1626571,15,152
1630019,16,169
1631667,15,157
1631667,16,157
1632015,15,165
1632466,14,164
1632683,15,165
1635259,16,157
1635259,16,157
1635554,17,165
1635682,16,173
1636646,14,159
1637825,16,165
1638112,17,181
1638131,14,150
1638131,15,150
1638131,18,157
1639152,16,183
1639548,14,155
1639548,15,155
1640833,15,169
1640833,14,170
1640833,15,170
1641166,14,165
1641166,16,168
1641177,16,166
1642197,17,167
1643416,15,165
1645577,13,165
1645577,16,169
1645587,15,170
1645587,16,170
1646243,17,155
1646390,14,170
1646747,17,160
1646747,18,160
1647817,17,160
1647999,15,166
1648801,14,122
1648801,14,129
1648801,14,130
1648801,15,132
1648801,15,132
1648801,16,135
1649728,16,152
1651184,18,178
1651250,17,162
1651250,17,162
1651250,16,163
1651426,15,157
1651426,16,157
1652304,14,152
1652822,14,163
1652830,16,155
1653363,16,157
1653416,15,160
1653717,14,163
1654025,17,162
1654804,17,173
1655598,15,158
1657058,16,155
1657147,13,160
1657648,15,170
1657820,14,148
1658672,14,142
1658677,14,147
1659038,16,168
1659310,13,155
1661329,14,155
1661901,14,148
1661901,15,150
1661901,14,152
1665566,16,165
1665566,14,170
1666968,17,163
1666968,17,165
1667301,12,165
1667301,16,168
1668161,13,145
1668161,14,146
1668851,14,165
1668945,18,157
1668945,15,158
1669171,13,139
1669189,14,160
1670851,13,160
1670924,14,157
1671213,13,170
1671316,15,168
1671512,13,145
1671512,14,145
1671512,14,146
1671512,15,146
1671512,17,146
1671968,16,169
1675157,16,160
1675635,12,163
1675635,13,163
1675635,13,166
1676336,16,160
1677520,16,168
1678022,12,169
1678320,17,179
1678769,14,158
1678819,16,159
1678870,14,161
1679046,16,160
1679046,16,161
1679046,16,163
1679751,15,173
1679851,15,147
1680319,16,157
1681475,12,159
1681475,16,168
1681588,16,168
1681588,16,170
1681739,13,142
1681739,15,147
1681739,14,163
1682534,13,145
1682536,17,170
1683762,15,173
1684313,17,168
1685601,13,155
1685601,14,157
1685932,15,157
1686905,14,165
1687658,15,162
1687658,16,163
1688416,12,165
1688554,14,160
1688605,17,165
1688867,16,170
1689047,14,160
1689633,17,170
1689666,13,168
1690002,16,171
1690229,13,153
1690229,13,156
1690229,13,157
1690229,14,160
1690229,14,161
1690229,14,163
1690229,15,163
1690229,15,164
1690606,14,170
1690606,15,171
1692429,16,166
1693786,13,145
1695466,14,160
1695630,16,157
1696035,16,152
1696146,13,160
1696492,14,165
1696729,14,161
1697515,15,160
1697515,14,161
1702391,14,170
1702391,16,170
1703008,15,155
1703295,14,160
1703353,15,173
1703394,15,159
1705335,14,163
1705335,15,163
1705436,12,155
1705780,13,164
1705780,13,165
1711174,12,166
1712050,13,160
1712050,15,163
1712689,14,170
1712693,13,150
1712853,14,161
1713091,16,157
1713114,15,168
1713803,15,159
1714131,14,168
1714149,14,163
1714149,15,163
1714149,15,164
1714149,15,165
1714837,13,150
1716601,15,170
1717375,13,163
1717375,13,165
1717375,14,165
1717375,14,167
1717375,14,168
1717375,15,168
1717375,14,169
1717375,15,170
1717375,16,170
1717375,17,170
1718113,14,170
1718877,14,150
1718879,12,174
1719179,13,160
1719317,14,161
1720102,13,157
1720937,13,159
1720937,13,159
1720937,16,162
1721938,16,169
1722102,12,138
1722102,14,140
1722102,13,141
1722102,15,141
1722102,15,141
1722436,16,160
1722879,15,167
1722879,15,168
1722879,16,170
1722879,16,172
1722880,15,168
1723683,13,155
1724308,15,168
1725948,13,160
1725948,13,160
1725948,15,163
1726744,13,157
1728856,17,168
1729252,15,168
1730342,17,160
1730619,14,173
1732119,14,109
1733609,13,160
1733624,16,161
1733624,15,165
1734818,14,160
1735053,12,140
1735053,13,142
1735053,13,144
1735053,14,150
1735315,17,152
1735583,16,166
1735583,15,168
1736659,13,166
1737632,12,163
1738292,14,163
1738292,15,164
1738498,12,155
1738498,15,160
1738554,13,158
1738554,13,160
1738554,13,163
1738554,13,163
1738554,14,166
1738554,15,166
1738554,14,168
1739434,11,135
1739812,15,160
1740326,11,164
1740326,15,170
1741737,13,168
1741737,14,168
1745462,12,145
1745462,13,155
1746143,13,151
1746505,12,152
1746548,13,157
1746911,12,148
1747313,11,152
1747459,13,168
1747622,15,172
1747804,13,164
1747804,13,165
1747804,15,166
1747804,13,168
1748305,12,147
1748305,12,150
1748305,12,155
1748305,13,155
1748699,15,161
1748903,11,150
1749878,12,170
1750867,12,160
1750969,13,159
1751302,14,160
1751302,15,165
1752229,12,153
1753131,13,156
1753131,16,163
1753131,17,163
1753449,12,168
1754321,15,167
1754362,12,152
1754930,14,155
1755201,12,164
1756019,12,150
1756019,14,160
1756019,13,161
1756019,15,163
1756623,14,152
1757653,14,157
1757864,12,168
1757864,13,170
1757864,15,171
1757864,14,173
1757913,13,156
1758642,12,151
1758642,14,152
1758724,14,163
1759866,13,146
1759866,13,150
1760055,15,155
1760103,11,142
1760103,12,150
1760103,11,152
1760103,13,155
1760103,13,158
1760103,13,160
1760103,14,160
1760103,14,162
1760103,15,165
1760614,12,154
1760614,12,156
1760747,11,152
1761378,11,150
1761378,13,162
1761541,15,150
1762572,12,139
1762572,12,140
1762572,13,146
1762572,13,151
1762572,14,151
1762572,14,152
1762572,15,154
1762925,11,145
1764761,12,135
1764762,14,152
1764789,17,155
1766499,14,168
1766737,15,162
1766737,15,163
1767466,13,150
1767677,13,163
1768160,13,163
1768160,14,163
1768160,14,165
1768635,12,152
1769268,14,175
1769268,16,175
1769600,10,145
1769997,13,136
1769997,13,142
1770015,11,157
1770701,11,141
1770701,11,144
1770701,12,150
1770998,14,160
1771049,11,132
1771049,12,145
1771049,12,147
1771049,12,149
1771049,13,155
1771049,14,158
1771762,12,163
1772171,11,147
1772171,12,157
1772171,14,160
1772171,14,161
1772171,15,162
1772185,12,165
1773123,11,144
1773123,11,146
1773123,12,150
1773123,12,151
1773123,13,154
1773123,14,155
1773123,13,156
1773123,13,157
1773123,15,157
1773123,14,160
1773123,15,160
1773381,12,157
1775054,12,157
1775054,12,158
1775054,12,160
1775054,13,160
1775803,12,154
1776850,15,164
1776850,14,168
1777676,12,159
1777676,13,159
1777676,12,160
1777676,13,160
1778226,12,163
1778694,15,153
1780755,12,151
1780755,12,152
1780778,13,168
1780891,15,160
1781339,14,157
1781714,13,165
1781714,13,166
1781714,14,169
1781846,10,147
1781963,12,159
1781963,13,161
1781963,13,162
1782344,12,157
1782344,13,161
1782344,13,161
1782471,14,168
1782884,14,157
1784125,14,166
1785396,15,168
1786257,10,147
1786257,10,151
1786300,14,168
1787351,15,173
1787726,13,163
1788872,10,132
1789334,14,163
1790284,15,174
1791125,14,164
1791125,14,164
1793365,17,165
1795130,13,165
1795479,14,146
1795479,15,149
1795577,12,149
1795577,14,157
1796004,11,153
1796046,10,159
1796047,10,141
1796047,12,151
1796047,12,157
1796047,13,163
1796047,14,164
1796099,10,142
